n_du_site;latitude_du_site;longitude_du_site;altitude_du_site;altitude_du_site_ign;nom_du_site;commune;departement;region;pays;numero_de_maille_drias;numero_de_maille_safran
172525;44.41099;6.52572;1214;1248;saule;Méolans-Revel;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;France;5972;7818
172526;45.34106;6.291317;510;487;saxifrage;Saint-Étienne-de-Cuines;Savoie;Auvergne-Rhône-Alpes;France;7828;6752
172527;44.08988;6.85144;806;803;selaginelle;Guillaumes;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;France;5404;8163
172528;42.799618;-1.634775;433;NA;UPNA;Pampelune;Pampelune;Navarre;Espagne;NA;NA
172529;45.46568;5.989545;290;279;sisal;Chapareillan;Isère;Auvergne-Rhône-Alpes;France;7968;6666
172530;45.62203;7.635836;1250;NA;sorbier;Champorcher;Champorcher;Vallée d'Aoste;Italie;NA;NA
172531;45.23488;6.41249;1200;1226;sphaigne;Montricher-Albanne;Savoie;Auvergne-Rhône-Alpes;France;7544;6920
172532;45.28806;5.87576;330;314;stellaire;Crolles;Isère;Auvergne-Rhône-Alpes;France;7681;6831
172533;45.68764;6.130706;725;728;sterne;Le Châtelard;Savoie;Auvergne-Rhône-Alpes;France;8398;6425
172534;45.37154;5.589452;338;361;tabouret;Voiron;Isère;Auvergne-Rhône-Alpes;France;7821;6745
172535;45.4663;5.987682;290;279;tamaris;Chapareillan;Isère;Auvergne-Rhône-Alpes;France;7968;6666
172536;45.93358;6.634358;530;548;tetras;Sallanches;Haute-Savoie;Auvergne-Rhône-Alpes;France;8975;6102
172537;45.68495;7.660796;420;NA;thuya;Champdepraz;Champdepraz;Vallée d'Aoste;Italie;NA;NA
172538;45.40895;5.56745;510;533;thym;Chirens;Isère;Auvergne-Rhône-Alpes;France;7821;6745
172539;45.11619;5.568426;1040;1052;tomate;Lans-en-Vercors;Isère;Auvergne-Rhône-Alpes;France;7249;7074
172540;45.58593;5.922806;369;359;topinambour;Chambéry;Savoie;Auvergne-Rhône-Alpes;France;8253;6503
172541;45.43289;5.75348;290;385;trefle;Entre-deux-Guiers;Isère;Auvergne-Rhône-Alpes;France;7966;6664
172542;45.71235;7.471561;1470;NA;valeriane_1450;Saint-Marcel;Saint-Marcel;Vallée d'Aoste;Italie;NA;NA
172543;45.70393;7.477226;1690;NA;valeriane_1700;Saint-Marcel;Saint-Marcel;Vallée d'Aoste;Italie;NA;NA
