n_du_site;latitude_du_site;longitude_du_site;altitude_du_site;altitude_du_site_ign;nom_du_site;commune;departement;region;pays;numero_de_maille_drias;numero_de_maille_safran
5296;46.73;2.93;231;216;lurcy-lévy;Lurcy-Lévis;Allier;Auvergne-Rhône-Alpes;France;10369;5102
5298;45.75;4.85;174;167;lyon;Lyon;Rhône;Auvergne-Rhône-Alpes;France;8529;6333
5300;49.55;2.52;123;122;magnelay;Maignelay-Montigny;Oise;Hauts-de-France;France;15942;665
5310;49.13;6.17;164;166;metz;Metz;Moselle;Grand Est;France;15260;1107
5334;46.98;-1.32;52;32;montaigu;Montaigu-Vendée;Vendée;Pays de la Loire;France;10901;4602
5335;49.53;4.85;170;248;mont-dieu;Tannay;Ardennes;Grand Est;France;15963;686
5340;46.17;2.6;221;413;montluçon;Marcillat-en-Combraille;Allier;Auvergne-Rhône-Alpes;France;9222;5882
5353;47.22;1.55;4;112;nantes;Fontguenand;Indre;Centre-Val de Loire;France;11357;4280
5363;50.7;4.467;84;NA;ohain;Lasne;Nivelles;Brabant wallon;Belgique;NA;NA
5372;48.8;2.5;40;42;parc de saint-maur;Saint-Maur-des-Fossés;Val-de-Marne;Île-de-France;France;14512;1565
5375;48.8667;2.3333;34;34;paris;Paris;Paris;Île-de-France;France;14653;1454
5388;49.53;2.44;102;112;plainval;Plainval;Oise;Hauts-de-France;France;15941;664
5389;45.08;3.75;833;842;plateau de loudes;Loudes;Haute-Loire;Auvergne-Rhône-Alpes;France;7088;7134
5398;48.18;3.45;100;90;pont sur vanne;Les Vallées de la Vanne;Yonne;Bourgogne-Franche-Comté;France;13234;2683
5408;45.98;3.63;215;653;prugnes;La Guillermie;Allier;Auvergne-Rhône-Alpes;France;8946;6073
5433;49.93;4.63;140;209;revin;Revin;Ardennes;Grand Est;France;16819;349
5434;48.02;5.07;330;343;richebourg;Richebourg;Haute-Marne;Grand Est;France;12963;2956
5439;49.92;4.52;385;385;rocroi;Rocroi;Ardennes;Grand Est;France;NA;NA
5442;49.43;1.0833;9;10;rouen;Rouen;Seine-Maritime;Normandie;France;15786;725
5474;48.05;5.05;310;318;semoutiers;Semoutiers-Montsaon;Haute-Marne;Grand Est;France;13106;2825
5485;49.37;3.33;90;46;soissons;Belleu;Aisne;Hauts-de-France;France;15664;825
5505;46.22;3.33;293;264;st didier;Saint-Didier-la-Forêt;Allier;Auvergne-Rhône-Alpes;France;9372;5800
5518;48.1;-0.35;146;147;st suzanne;Sainte-Suzanne-et-Chammes;Mayenne;Pays de la Loire;France;13055;2774
5522;48.58;7.75;139;140;strasbourg;Strasbourg;Bas-Rhin;Grand Est;France;14274;1852
5527;49.43;4.28;105;92;tagnon;Tagnon;Ardennes;Grand Est;France;15815;754
5538;50.8;4.316;40;NA;uccle;Inconnu;Inconnu;Inconnu;Inconnu;NA;NA
5555;48.35;-0.28;200;197;villaines;Villaines-la-Juhel;Mayenne;Pays de la Loire;France;13628;2269
5559;47.93;3.82;155;146;villiers-vineux;Carisey;Yonne;Bourgogne-Franche-Comté;France;12808;3077
